Epsilon,Robust Cost,Nominal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.3,0.7356795180820953,0.7355280529520662,0.75,0.01825096169908523,0.022190094675742553,"Workload(z0=0.2585370524347475, z1=0.2200989594147034, q=0.1889953025254151, w=0.332368685625134)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.3,0.7357774863878132,0.7355280531152186,1.0,0.01825096169908523,0.022190094675742553,"Workload(z0=0.2585370524347475, z1=0.2200989594147034, q=0.1889953025254151, w=0.332368685625134)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.3,0.7356977831380823,0.7355280528815158,1.25,0.01825096169908523,0.022190094675742553,"Workload(z0=0.2585370524347475, z1=0.2200989594147034, q=0.1889953025254151, w=0.332368685625134)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.3,0.7359778039326266,0.7355280529570424,1.5,0.01825096169908523,0.022190094675742553,"Workload(z0=0.2585370524347475, z1=0.2200989594147034, q=0.1889953025254151, w=0.332368685625134)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.3,0.7361595632052711,0.7355280530595566,1.75,0.01825096169908523,0.022190094675742553,"Workload(z0=0.2585370524347475, z1=0.2200989594147034, q=0.1889953025254151, w=0.332368685625134)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.35000000000000003,0.7355585484006988,0.7355280528405027,0.25,0.01552888708491627,0.006928190802541513,"Workload(z0=0.254018829639577, z1=0.2686698443355623, q=0.20282053034959902, w=0.2744907956752618)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.35000000000000003,0.7355507270921673,0.7355280529452267,0.5,0.01552888708491627,0.006928190802541513,"Workload(z0=0.254018829639577, z1=0.2686698443355623, q=0.20282053034959902, w=0.2744907956752618)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.35000000000000003,0.7355656273585027,0.7355280529044841,0.75,0.01552888708491627,0.006928190802541513,"Workload(z0=0.254018829639577, z1=0.2686698443355623, q=0.20282053034959902, w=0.2744907956752618)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.35000000000000003,0.7358029625081591,0.7355280528208838,1.0,0.01552888708491627,0.006928190802541513,"Workload(z0=0.254018829639577, z1=0.2686698443355623, q=0.20282053034959902, w=0.2744907956752618)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.35000000000000003,0.7355292878709025,0.7355280529187247,1.25,0.01552888708491627,0.006928190802541513,"Workload(z0=0.254018829639577, z1=0.2686698443355623, q=0.20282053034959902, w=0.2744907956752618)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.35000000000000003,0.7357621847830007,0.7355280529337809,1.5,0.01552888708491627,0.006928190802541513,"Workload(z0=0.254018829639577, z1=0.2686698443355623, q=0.20282053034959902, w=0.2744907956752618)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.35000000000000003,0.7358514921490285,0.7355280529517809,1.75,0.01552888708491627,0.006928190802541513,"Workload(z0=0.254018829639577, z1=0.2686698443355623, q=0.20282053034959902, w=0.2744907956752618)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.4,0.7364368181343095,0.7355280528432429,0.25,0.037527915366020674,0.0009534624191028275,"Workload(z0=0.23318657371296253, z1=0.2505794511549685, q=0.26334892188393333, w=0.2528850532481357)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
