Epsilon,Robust Cost,Nominal Cost,Rho,Rho (True),Workload (Perturbed),Workload (True)
0.6000000000000001,0.5229870366970031,0.5130504589168218,0.30000000000000004,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.5310574032090406,0.5130504587671548,0.4,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.538761675013784,0.5130504583724299,0.5,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.5530063346769696,0.5130504585135398,0.6000000000000001,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.5795970863117499,0.5130504583846883,0.7000000000000001,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.6027142878863903,0.5130504584711125,0.8,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.631078120466936,0.5130504585439396,0.9,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.658304292622576,0.5130504584586207,1.0,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.6856873708938256,0.513050458409794,1.1,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.710051496399145,0.5130504590217339,1.2000000000000002,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.7325827611803458,0.5130504586156508,1.3,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.7538247384075066,0.5130504584662758,1.4000000000000001,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.7749106190407118,0.5130504584344031,1.5,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.7934076917438614,0.5130504583980753,1.6,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.8096440424062268,0.5130504585226286,1.7000000000000002,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.5503089595811106,0.5130504584618678,1.8,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.8405681858927833,0.5130504585604401,1.9000000000000001,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6000000000000001,0.8544239203363405,0.5130504584185918,2.0,0.0017737121955527498,"Workload(z0=0.47741889950626965, z1=0.49571460545846757, q=0.016708246382178826, w=0.010158248653083918)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.5130548255118031,0.5130504583970689,0.0,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.5134608405367866,0.5130504584258134,0.1,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.5144563363945308,0.513050458446786,0.2,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.5194946295079299,0.5130504583993654,0.30000000000000004,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.5242727388510977,0.5130504584681643,0.4,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.5317969772584393,0.513050458508113,0.5,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.5379419161796597,0.5130504585623012,0.6000000000000001,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
