Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho Multiplier,Rho (True)
0.55,0.1505065791844,0.14175908537156465,0.031003844637300458,0.75,0.0064563009903764405
0.55,0.14788040547327336,0.14175908537156465,0.015547853858873893,1.0,0.0033273661098829534
0.55,0.16255203328084342,0.14175908537156465,0.03764369455160858,1.25,0.002842909147877177
0.55,0.20352157194202677,0.14175908537156465,0.027855655904972344,1.5,0.04988750310371601
0.55,0.18424419770386136,0.14175908537156465,0.04926332278600249,1.75,0.010251475985605538
0.6000000000000001,0.14486536879099132,0.14175908537156465,0.03112064852301765,0.25,0.0014672386038451345
0.6000000000000001,0.15929988318164678,0.14175908537156465,0.027239125176165294,0.5,0.023452439920031133
0.6000000000000001,0.16903111176661312,0.14175908537156465,0.049591475317568974,0.75,0.01745323643005909
0.6000000000000001,0.16147021909446907,0.14175908537156465,0.03945521665790179,1.0,0.007818799128041454
0.6000000000000001,0.14838173745267613,0.14175908537156465,0.014325577042312982,1.25,1.4158223865820367e-07
0.6000000000000001,0.17162607071718783,0.14175908537156465,0.08078551182075168,1.5,0.004424370055176978
0.6000000000000001,0.186127906843695,0.14175908537156465,0.06799590863084662,1.75,0.09134895333810675
0.6500000000000001,0.15745634126974312,0.14175908537156465,0.03703595026643402,0.25,0.01568841836771134
0.6500000000000001,0.16787027928271828,0.14175908537156465,0.04134978268234049,0.5,0.015097792956777066
0.6500000000000001,0.15606296270632888,0.14175908537156465,0.06255225264558037,0.75,0.0030279563725234097
0.6500000000000001,0.15714242899115208,0.14175908537156465,0.01673606809891484,1.0,0.005259983348652067
0.6500000000000001,0.18829805344742273,0.14175908537156465,0.053801920668751044,1.25,0.014311406080401766
0.6500000000000001,0.1798351537304761,0.14175908537156465,0.1051628000825715,1.5,8.20420527469155e-05
0.6500000000000001,0.15405256714940777,0.14175908537156465,0.020552737117348705,1.75,0.0039029449524720606
0.7000000000000001,0.1474029792089267,0.14175908537156465,0.03826310393263556,0.25,0.017156533750703872
0.7000000000000001,0.15629696766232587,0.14175908537156465,0.02439617007996923,0.5,0.005620710404458409
0.7000000000000001,0.14621889018078915,0.14175908537156465,0.016177749473349788,0.75,0.00045143843653612037
0.7000000000000001,0.16677188506878304,0.14175908537156465,0.025389462615387028,1.0,0.01106957733802496
0.7000000000000001,0.18225691274676017,0.14175908537156465,0.034533071634515064,1.25,0.025697579688396217
0.7000000000000001,0.1635869139046907,0.14175908537156465,0.040606111103414284,1.5,0.027876990206045133
0.7000000000000001,0.15470294801831186,0.14175908537156465,0.020332093791215866,1.75,0.02102720752765811
