Epsilon,Robust Cost,Nominal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.2,0.8746182577076651,0.8746182577076651,0.25,0.20027780089002178,0.0806589074674685,"Workload(z0=0.010933490147883926, z1=0.09287806348264037, q=0.528961477679482, w=0.36722696868999377)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.2,0.8746182577076651,0.8746182577076651,0.5,0.20027780089002178,0.0806589074674685,"Workload(z0=0.010933490147883926, z1=0.09287806348264037, q=0.528961477679482, w=0.36722696868999377)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.2,0.8746182577076651,0.8746182577076651,0.75,0.20027780089002178,0.0806589074674685,"Workload(z0=0.010933490147883926, z1=0.09287806348264037, q=0.528961477679482, w=0.36722696868999377)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.2,0.8746182577076651,0.8746182577076651,1.0,0.20027780089002178,0.0806589074674685,"Workload(z0=0.010933490147883926, z1=0.09287806348264037, q=0.528961477679482, w=0.36722696868999377)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.2,0.8746182577076651,0.8746182577076651,1.25,0.20027780089002178,0.0806589074674685,"Workload(z0=0.010933490147883926, z1=0.09287806348264037, q=0.528961477679482, w=0.36722696868999377)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.2,0.8746182577076651,0.8746182577076651,1.5,0.20027780089002178,0.0806589074674685,"Workload(z0=0.010933490147883926, z1=0.09287806348264037, q=0.528961477679482, w=0.36722696868999377)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.2,0.8746182577076651,0.8746182577076651,1.75,0.20027780089002178,0.0806589074674685,"Workload(z0=0.010933490147883926, z1=0.09287806348264037, q=0.528961477679482, w=0.36722696868999377)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.25,0.8911119258043081,0.8746182577076651,0.25,0.13964299659468993,0.09018451136210127,"Workload(z0=0.11840541733415975, z1=0.008604440210753976, q=0.44210680389594437, w=0.43088333855914196)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.25,0.8882018368899041,0.8746182577076651,0.5,0.13964299659468993,0.09018451136210127,"Workload(z0=0.11840541733415975, z1=0.008604440210753976, q=0.44210680389594437, w=0.43088333855914196)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.25,0.8855034279790381,0.8746182577076651,0.75,0.13964299659468993,0.09018451136210127,"Workload(z0=0.11840541733415975, z1=0.008604440210753976, q=0.44210680389594437, w=0.43088333855914196)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.25,0.8843732765048623,0.8746182577076651,1.0,0.13964299659468993,0.09018451136210127,"Workload(z0=0.11840541733415975, z1=0.008604440210753976, q=0.44210680389594437, w=0.43088333855914196)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.25,0.8821263681611115,0.8746182577076651,1.25,0.13964299659468993,0.09018451136210127,"Workload(z0=0.11840541733415975, z1=0.008604440210753976, q=0.44210680389594437, w=0.43088333855914196)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.25,0.8808229741615125,0.8746182577076651,1.5,0.13964299659468993,0.09018451136210127,"Workload(z0=0.11840541733415975, z1=0.008604440210753976, q=0.44210680389594437, w=0.43088333855914196)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.25,0.8796853847996847,0.8746182577076651,1.75,0.13964299659468993,0.09018451136210127,"Workload(z0=0.11840541733415975, z1=0.008604440210753976, q=0.44210680389594437, w=0.43088333855914196)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.3,0.8852138368972393,0.8746182577076651,0.25,0.13246807839386004,0.05730150372146173,"Workload(z0=0.07981697889596147, z1=0.02163126831291047, q=0.46691231924928994, w=0.4316394335418381)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.3,0.8818019569224808,0.8746182577076651,0.5,0.13246807839386004,0.05730150372146173,"Workload(z0=0.07981697889596147, z1=0.02163126831291047, q=0.46691231924928994, w=0.4316394335418381)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.3,0.880080206131643,0.8746182577076651,0.75,0.13246807839386004,0.05730150372146173,"Workload(z0=0.07981697889596147, z1=0.02163126831291047, q=0.46691231924928994, w=0.4316394335418381)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
