Epsilon,Robust Cost,Nominal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.15000000000000002,0.7917034074583685,0.7355280530802373,0.543084008982424,0.75,0.007125583831046979,"Workload(z0=0.2659451400642183, z1=0.24690147974308596, q=0.28245122694530167, w=0.2047021532473941)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.8227371095869979,0.7355280531022869,0.543084008982424,1.0,0.007125583831046979,"Workload(z0=0.2659451400642183, z1=0.24690147974308596, q=0.28245122694530167, w=0.2047021532473941)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.8558251930029008,0.7355280530883711,0.543084008982424,1.25,0.007125583831046979,"Workload(z0=0.2659451400642183, z1=0.24690147974308596, q=0.28245122694530167, w=0.2047021532473941)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.8726218870940593,0.7355280529186453,0.543084008982424,1.5,0.007125583831046979,"Workload(z0=0.2659451400642183, z1=0.24690147974308596, q=0.28245122694530167, w=0.2047021532473941)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.8726218870940591,0.7355280527919784,0.543084008982424,1.75,0.007125583831046979,"Workload(z0=0.2659451400642183, z1=0.24690147974308596, q=0.28245122694530167, w=0.2047021532473941)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7394476964986753,0.7355280529519519,0.057444324258385235,0.25,0.03808181542362346,"Workload(z0=0.1849454879961374, z1=0.18776854620491257, q=0.2714470304946794, w=0.35583893530427074)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7415011168388118,0.7355280528530663,0.057444324258385235,0.5,0.03808181542362346,"Workload(z0=0.1849454879961374, z1=0.18776854620491257, q=0.2714470304946794, w=0.35583893530427074)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7444484236950871,0.7355280528263354,0.057444324258385235,0.75,0.03808181542362346,"Workload(z0=0.1849454879961374, z1=0.18776854620491257, q=0.2714470304946794, w=0.35583893530427074)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.746511495001124,0.7355280530891424,0.057444324258385235,1.0,0.03808181542362346,"Workload(z0=0.1849454879961374, z1=0.18776854620491257, q=0.2714470304946794, w=0.35583893530427074)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7477179007880009,0.7355280529426429,0.057444324258385235,1.25,0.03808181542362346,"Workload(z0=0.1849454879961374, z1=0.18776854620491257, q=0.2714470304946794, w=0.35583893530427074)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
